"from","to","node1_string_internal_id","node2_string_internal_id","node1_external_id","node2_external_id","neighborhood_on_chromosome","gene_fusion","phylogenetic_cooccurrence","homology","coexpression","experimentally_determined_interaction","database_annotated","automated_textmining","combined_score","Tipo"
"NF1","MYCN",1853658,1846701,"9606.ENSP00000351015","9606.ENSP00000281043",0,0,0,0,0,0,0,0.449,0.449,"Cerebro"
"PTEN","IDH1",1855586,1844837,"9606.ENSP00000361021","9606.ENSP00000260985",0,0,0,0,0.052,0,0,0.44,0.446,"Cerebro"
"NANOG","SOX9",1843760,1843195,"9606.ENSP00000245479","9606.ENSP00000229307",0,0,0,0,0,0,0,0.446,0.446,"Cerebro"
"VEGFA","ABCG2",1855611,1843466,"9606.ENSP00000361125","9606.ENSP00000237612",0,0,0,0,0,0,0,0.443,0.443,"Cerebro"
"CD44","SOX9",1860096,1843760,"9606.ENSP00000398632","9606.ENSP00000245479",0,0,0,0,0,0,0,0.443,0.443,"Cerebro"
"CD44","MYCN",1860096,1846701,"9606.ENSP00000398632","9606.ENSP00000281043",0,0,0,0,0,0,0,0.443,0.443,"Cerebro"
"MLL2","ARID1A",1850249,1848242,"9606.ENSP00000320485","9606.ENSP00000301067",0,0,0,0,0.184,0,0,0.344,0.443,"Cerebro"
"CTNNB1","MYCN",1852818,1846701,"9606.ENSP00000344456","9606.ENSP00000281043",0,0,0,0,0,0,0,0.443,0.443,"Cerebro"
"VEGFA","NANOG",1855611,1843195,"9606.ENSP00000361125","9606.ENSP00000229307",0,0,0,0,0,0,0,0.443,0.443,"Cerebro"
"MYC","ITGA2",1856789,1847760,"9606.ENSP00000367207","9606.ENSP00000296585",0,0,0,0,0,0,0,0.442,0.442,"Cerebro"
"TGFA","VEGFA",1855611,1847571,"9606.ENSP00000361125","9606.ENSP00000295400",0,0,0,0,0,0,0,0.442,0.442,"Cerebro"
"ITGA2","MYCN",1847760,1846701,"9606.ENSP00000296585","9606.ENSP00000281043",0,0,0,0,0,0,0,0.442,0.442,"Cerebro"
"ITGA2","ABCG2",1847760,1843466,"9606.ENSP00000296585","9606.ENSP00000237612",0,0,0,0,0,0,0,0.442,0.442,"Cerebro"
"VEGFA","ACAN",1859267,1855611,"9606.ENSP00000387356","9606.ENSP00000361125",0,0,0,0,0,0,0,0.441,0.441,"Cerebro"
"CD44","ITGA2",1860096,1847760,"9606.ENSP00000398632","9606.ENSP00000296585",0,0,0,0,0,0,0,0.441,0.441,"Cerebro"
"PIK3R1","RB1",1846375,1845924,"9606.ENSP00000274335","9606.ENSP00000267163",0,0,0,0,0.053,0.36,0,0.151,0.441,"Cerebro"
"TERT","CDH1",1849199,1844988,"9606.ENSP00000309572","9606.ENSP00000261769",0,0,0,0,0,0,0,0.441,0.441,"Cerebro"
"ZBTB20","MGP",1861400,1843175,"9606.ENSP00000419153","9606.ENSP00000228938",0,0,0,0,0,0,0,0.441,0.441,"Cerebro"
"MYCN","PTCH1",1851463,1846701,"9606.ENSP00000332353","9606.ENSP00000281043",0,0,0,0,0,0,0,0.44,0.44,"Cerebro"
"COL4A2","SOX9",1854011,1843760,"9606.ENSP00000353654","9606.ENSP00000245479",0,0,0,0,0,0,0,0.439,0.439,"Cerebro"
"ITGA2","CCL2",1847760,1843055,"9606.ENSP00000296585","9606.ENSP00000225831",0,0,0,0,0,0,0,0.439,0.439,"Cerebro"
"PTEN","ARID1A",1855586,1850249,"9606.ENSP00000361021","9606.ENSP00000320485",0,0,0,0,0.092,0,0,0.408,0.439,"Cerebro"
"ATRX","DNMT3A",1855886,1845601,"9606.ENSP00000362441","9606.ENSP00000264709",0,0,0,0,0.055,0.068,0,0.412,0.437,"Cerebro"
"NANOG","SETD2",1859200,1843195,"9606.ENSP00000386759","9606.ENSP00000229307",0,0,0,0,0,0.061,0,0.424,0.436,"Cerebro"
